product_category,category_revenue,order_count,item_count,category_revenue_share,category_rank
beleza_saude,1258681.34,8836,9670,9.260699940214003,1
relogios_presentes,1205005.68,5624,5991,8.865783319496522,2
cama_mesa_banho,1036988.68,9417,11115,7.629604651864145,3
esporte_lazer,988048.97,7720,8641,7.269532602594637,4
informatica_acessorios,911954.32,6689,7827,6.709669118239173,5
moveis_decoracao,729762.49,6449,8334,5.369199679653168,6
cool_stuff,635290.85,3632,3796,4.674128192456958,7
utilidades_domesticas,632248.66,5884,6964,4.651745395591853,8
automotivo,592720.11,3897,4235,4.360915596985522,9
ferramentas_jardim,485256.46,3518,4347,3.5702558918609677,10
brinquedos,483946.6,3886,4117,3.560618646882275,11
bebes,411764.89,2885,3065,3.0295444692977056,12
perfumaria,399124.87,3162,3419,2.9365460043659035,13
telefonia,323667.52999999997,4199,4545,2.3813715040219896,14
moveis_escritorio,273960.7,1273,1691,2.015655398618197,15
papelaria,230943.23,2311,2517,1.6991560042145601,16
pcs,222963.13,181,203,1.6404427229062812,17
pet_shop,214315.41,1710,1947,1.5768174529177807,18
instrumentos_musicais,191498.88,628,680,1.4089457038959903,19
eletroportateis,190648.58,630,679,1.4026896540850315,20
Unknown/Untranslated,179535.28,1451,1603,1.3209239733086882,21
eletronicos,160246.74,2550,2767,1.1790092761186788,22
consoles_games,157465.22,1062,1137,1.1585443488339826,23
fashion_bolsas_e_acessorios,152823.54,1864,2031,1.1243933653146014,24
construcao_ferramentas_construcao,144677.59,748,929,1.0644598489585186,25
malas_acessorios,140429.98,1034,1092,1.0332082204303223,26
eletrodomesticos_2,113317.74,234,238,0.8337309489653558,27
casa_construcao,83088.12,490,604,0.6113176730787903,28
eletrodomesticos,80171.53,764,771,0.58985897342203,29
agro_industria_e_comercio,72530.47,182,212,0.5336401659793364,30
moveis_sala,68916.56,422,503,0.507050961025413,31
telefonia_fixa,59583.0,217,264,0.43837964940178653,32
casa_conforto,58572.04,397,434,0.4309415497700253,33
climatizacao,55024.96,253,297,0.4048440439915299,34
audio,50688.5,350,364,0.37293870497797116,35
portateis_casa_forno_e_cafe,47445.71,75,76,0.34908000126577776,36
livros_interesse_geral,46856.88,512,553,0.3447477070047091,37
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,248,281,0.3408592148424256,38
construcao_ferramentas_iluminacao,41080.0,244,304,0.30224453279333685,39
construcao_ferramentas_seguranca,40544.52,167,194,0.29830475912195964,40
industria_comercio_e_negocios,39669.61,235,268,0.2918676421748755,41
alimentos,29393.41,450,510,0.21626089271307192,42
market_place,28378.47,280,311,0.20879351038314817,43
construcao_ferramentas_jardim,25715.89,194,238,0.1892036796108774,44
artes,24202.64,202,209,0.17807000046653668,45
fashion_calcados,23562.77,240,262,0.1733621813526498,46
bebidas,22428.7,297,379,0.16501830459254904,47
sinalizacao_e_seguranca,21509.23,140,199,0.1582533391454339,48
moveis_quarto,20028.78,95,109,0.14736098474976944,49
livros_tecnicos,19096.06,260,267,0.14049853293314335,50
construcao_ferramentas_ferramentas,15903.95,97,103,0.11701270538750218,51
alimentos_bebidas,15179.48,227,278,0.11168244500111492,52
fashion_roupa_masculina,10797.82,112,132,0.07944454871194129,53
fashion_underwear_e_moda_praia,9541.55,121,131,0.07020159011378439,54
artigos_de_natal,8800.82,128,153,0.06475169739771798,55
tablets_impressao_imagem,7528.41,79,83,0.05538998936530392,56
cine_foto,6933.46,65,72,0.05101266743771396,57
musica,6034.35,38,38,0.04439749991386252,58
dvds_blu_ray,5999.39,59,64,0.04414028304759049,59
livros_importados,4639.85,53,60,0.03413751936419582,60
artigos_de_festas,4485.18,39,43,0.03299954073987387,61
moveis_colchao_e_estofado,4368.08,38,38,0.03213798195725216,62
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,14,15,0.02919830807513002,63
fashion_roupa_feminina,2803.64,39,48,0.020627674340815746,64
fashion_esporte,2119.51,27,30,0.015594213965452908,65
la_cuisine,2054.99,13,14,0.015119510526898229,66
artes_e_artesanato,1814.01,23,24,0.013346509370312584,67
fraldas_higiene,1567.59,27,39,0.011533483621263555,68
pc_gamer,1545.95,8,9,0.011374268146832013,69
flores,1110.04,29,33,0.008167076951847995,70
casa_conforto_2,760.27,24,30,0.0055936575206131985,71
cds_dvds_musicais,730.0,12,14,0.0053709471504171345,72
fashion_roupa_infanto_juvenil,569.85,8,8,0.004192649635157814,73
seguros_e_servicos,283.28999999999996,2,2,0.0020842953674543425,74
