year_month,monthly_revenue,monthly_orders,monthly_customers,average_order_value,monthly_revenue_growth,rolling_3_month_revenue,cumulative_revenue
2016-09,267.36,4,4,66.84,,267.36,267.36
2016-10,49507.66,324,321,152.80141975308644,18417.227707959308,49775.020000000004,49775.020000000004
2016-12,10.9,1,1,10.9,-99.97798320502322,49785.920000000006,49785.920000000006
2017-01,120312.87,800,765,150.3910875,1103687.7981651376,169831.43,170098.79
2017-02,247303.02,1780,1755,138.9342808988764,105.54992994515051,367626.79,417401.81
2017-03,374344.3,2682,2642,139.57654735272183,51.37069494743736,741960.19,791746.11
2017-04,359927.23,2404,2372,149.7201455906822,-3.8512861021257727,981574.5499999999,1151673.3399999999
2017-05,506071.14,3700,3625,136.7759837837838,40.603738150069965,1240342.67,1657744.48
2017-06,433038.6,3245,3180,133.44795069337442,-14.431279365189653,1299036.97,2090783.08
2017-07,498031.48,4026,3947,123.7037953303527,15.00856505632524,1437141.22,2588814.56
2017-08,573971.68,4331,4246,132.52636342646042,15.248072270451685,1505041.76,3162786.24
2017-09,624401.6900000001,4285,4212,145.71801400233375,8.786149518735842,1696404.85,3787187.93
2017-10,664219.43,4631,4561,143.4289419131937,6.376943022047232,1862592.8000000003,4451407.36
2017-11,1010271.37,7544,7430,133.9172017497349,52.099039017873935,2298892.49,5461678.73
2017-12,743914.17,5673,5603,131.13241142252778,-26.364916190785447,2418404.97,6205592.9
2018-01,950030.36,7269,7166,130.69615628009353,27.706985336762703,2704215.9,7155623.260000001
2018-02,844178.71,6728,6569,125.47245986920332,-11.141922874970023,2538123.2399999998,7999801.970000001
2018-03,983213.4400000001,7211,7115,136.349111080294,16.469821893518265,2777422.51,8983015.41
2018-04,996647.75,6939,6882,143.62988182735265,1.3663676118991885,2824039.9000000004,9979663.16
2018-05,996517.68,6873,6814,144.99020515058928,-0.013050749374587944,2976378.87,10976180.84
2018-06,865124.31,6167,6128,140.28284579211936,-13.185252267676773,2858289.74,11841305.15
2018-07,895507.22,6292,6230,142.32473299427843,3.5119704357862602,2757149.21,12736812.370000001
2018-08,854686.33,6512,6460,131.2479007985258,-4.5584099254945105,2615317.86,13591498.700000001
2018-09,145.0,16,14,9.0625,-99.98303471169359,1750338.5499999998,13591643.700000001
2018-10,0.0,4,4,0.0,-100.0,854831.33,13591643.700000001
