customer_state,revenue,orders,customers,average_order_value,revenue_rank
sp,5202955.05,41746,40302,124.63361878982417,1
rj,1824092.67,12852,12384,141.93064659197012,2
mg,1585308.03,11635,11259,136.25337602062743,3
rs,750304.02,5466,5277,137.26747530186609,4
pr,683083.76,5045,4882,135.39816848364717,5
sc,520553.34,3637,3534,143.1271212537806,6
ba,511349.99,3380,3277,151.28697928994083,7
df,302603.94,2140,2075,141.40371028037384,8
go,294591.95,2020,1952,145.837599009901,9
es,275037.31,2033,1964,135.28642892277423,10
pe,262788.03,1652,1609,159.0726573849879,11
ce,227254.71,1336,1313,170.10083083832336,12
pa,178947.81,975,949,183.5362153846154,13
mt,156453.53,907,876,172.4956229327453,14
ma,119648.22,747,726,160.1716465863454,15
ms,116812.64,715,694,163.37432167832168,16
pb,115268.08,536,519,215.05238805970149,17
pi,86914.08,495,482,175.584,18
rn,83034.98,485,474,171.2061443298969,19
al,80314.81,413,401,194.46685230024212,20
se,58920.85,350,342,168.34528571428572,21
to,49621.74,280,273,177.2205,22
ro,46140.64,253,240,182.37407114624506,23
am,22356.84,148,143,151.05972972972972,24
ac,15982.95,81,77,197.32037037037037,25
ap,13474.3,68,67,198.15147058823527,26
rr,7829.43,46,45,170.205,27
