dataset,column,total_rows,null_count,null_percentage,field_type,finding_type,classification,phase_3_expected_nulls,phase_3_validation
customers,customer_city,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
customers,customer_id,99441,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
customers,customer_state,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
customers,customer_unique_id,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
customers,customer_zip_code_prefix,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
geolocation,geolocation_city,1000163,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
geolocation,geolocation_lat,1000163,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
geolocation,geolocation_lng,1000163,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
geolocation,geolocation_state,1000163,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
geolocation,geolocation_zip_code_prefix,1000163,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_items,freight_value,112650,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_items,order_id,112650,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_items,order_item_id,112650,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_items,price,112650,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_items,product_id,112650,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_items,seller_id,112650,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_items,shipping_limit_date,112650,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_payments,order_id,103886,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_payments,payment_installments,103886,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_payments,payment_sequential,103886,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_payments,payment_type,103886,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_payments,payment_value,103886,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_reviews,review_comment_title,99224,87656,88.3415,Important Analytical Field,Optional / Sparse Field,Observation,87656.0,Confirmed
order_reviews,review_comment_message,99224,58247,58.7025,Important Analytical Field,Optional / Sparse Field,Observation,58247.0,Confirmed
order_reviews,order_id,99224,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_reviews,review_answer_timestamp,99224,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_reviews,review_creation_date,99224,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_reviews,review_id,99224,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
order_reviews,review_score,99224,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
orders,order_delivered_customer_date,99441,2965,2.9817,Important Analytical Field,Missing Value,Observation,2965.0,Confirmed
orders,order_delivered_carrier_date,99441,1783,1.793,Important Analytical Field,Missing Value,Observation,1783.0,Confirmed
orders,order_approved_at,99441,160,0.1609,Important Analytical Field,Missing Value,Observation,160.0,Confirmed
orders,customer_id,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
orders,order_estimated_delivery_date,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
orders,order_id,99441,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
orders,order_purchase_timestamp,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
orders,order_status,99441,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
product_category_name_translation,product_category_name,71,0,0.0,Primary Key,No Missing Values,Pass,,Not a Phase 3 tracked finding
product_category_name_translation,product_category_name_english,71,0,0.0,Important Analytical Field,No Missing Values,Pass,,Not a Phase 3 tracked finding
products,product_category_name,32951,610,1.8512,Important Analytical Field,Missing Value,Observation,610.0,Confirmed
products,product_description_lenght,32951,610,1.8512,Important Analytical Field,Missing Value,Observation,610.0,Confirmed
products,product_name_lenght,32951,610,1.8512,Important Analytical Field,Missing Value,Observation,610.0,Confirmed
products,product_photos_qty,32951,610,1.8512,Important Analytical Field,Missing Value,Observation,610.0,Confirmed
products,product_height_cm,32951,2,0.0061,Important Analytical Field,Missing Value,Observation,2.0,Confirmed
products,product_length_cm,32951,2,0.0061,Important Analytical Field,Missing Value,Observation,2.0,Confirmed
products,product_weight_g,32951,2,0.0061,Important Analytical Field,Missing Value,Observation,2.0,Confirmed
products,product_width_cm,32951,2,0.0061,Important Analytical Field,Missing Value,Observation,2.0,Confirmed
