stage,dataset,rows,columns,null_count,duplicate_rows
input,customers,99441,5,0,0
input,geolocation,738332,5,0,0
input,orders,99441,8,5097,0
input,order_items,112650,7,0,0
input,payments,103886,5,2,0
input,reviews,99224,7,145932,0
input,products,32951,9,2448,0
input,sellers,3095,4,0,0
input,category_translation,71,2,0,0
processed,orders_processed,99441,16,5097,0
processed,order_items_processed,112650,27,12011,0
processed,payments_processed,103886,8,2,0
processed,reviews_processed,99224,14,145932,0
processed,customers_processed,99441,5,0,0
processed,products_processed,32951,9,2448,0
processed,sellers_processed,3095,4,0,0
processed,geography_processed,19015,5,0,0
