stage,dataset,rows,columns,sha256
input,customers,99441,5,ae6cac636097fc556618da1d8a462a4c940399f89458ccb4195bf678a5b7ab9a
input,geolocation,738332,5,e9ee4392044bf1114db180bef04d1e890a0509d6027d66e9140c386fed682339
input,orders,99441,8,17362d80ac2e938700c9e2a1aae1783cb9cdf42949bd7d229377ff6d3f4f6baf
input,order_items,112650,7,36b8898eda7a34733ced5e21b7ce75f52f85bed19959b548a36790ec0e34e422
input,payments,103886,5,248fc9c5ac0db73fcff535e3bdfc4de86712744b80e584caad05595a6534a421
input,reviews,99224,7,11d5c1629c93b8ca970cd82b132a1a5dbc4ca01d3c76e5519c752b7a37bfee04
input,products,32951,9,7b8e5bad9f794a2d34d8dd044d1cd819dc009139c652843824d2f86a6b8a72e6
input,sellers,3095,4,98369b77cf308c6582bae23af6a9945bb4dc98667fc081618dc4418733614678
input,category_translation,71,2,9f32ccbb03ebbee49acd00d7f8753ed6fee4a0714157ffe9527a0546ff883d38
processed,orders_processed,99441,16,5d53e6058743848409fdece1c9bdd46b231cfd13408c8133959dc648eac7f9d8
processed,order_items_processed,112650,27,4509ce46e7d4d350550169aaf29083354d23390d0e1a696ddf81123e559d312c
processed,payments_processed,103886,8,69531c29d187bd6117d1f92c7ee41e58db7d29ce7c62c1b8a76a6ecc64fe18e1
processed,reviews_processed,99224,14,8839939639f707ed751221313bb5d334ca9aaf4c584d3152c961eab7b67b0bd0
processed,customers_processed,99441,5,ae6cac636097fc556618da1d8a462a4c940399f89458ccb4195bf678a5b7ab9a
processed,products_processed,32951,9,7b8e5bad9f794a2d34d8dd044d1cd819dc009139c652843824d2f86a6b8a72e6
processed,sellers_processed,3095,4,98369b77cf308c6582bae23af6a9945bb4dc98667fc081618dc4418733614678
processed,geography_processed,19015,5,80540f238312c7c7428aa0758633d40596069fa3fa9937ef393c89261e7137b9
