category,units_sold,orders,sales,sales_contribution_pct
health_beauty,9670,8836,1258681.34,9.26
watches_gifts,5991,5624,1205005.68,8.87
bed_bath_table,11115,9417,1036988.68,7.63
sports_leisure,8641,7720,988048.97,7.27
computers_accessories,7827,6689,911954.32,6.71
furniture_decor,8334,6449,729762.49,5.37
cool_stuff,3796,3632,635290.85,4.67
housewares,6964,5884,632248.66,4.65
auto,4235,3897,592720.11,4.36
garden_tools,4347,3518,485256.46,3.57
toys,4117,3886,483946.60,3.56
baby,3065,2885,411764.89,3.03
perfumery,3419,3162,399124.87,2.94
telephony,4545,4199,323667.53,2.38
office_furniture,1691,1273,273960.70,2.02
stationery,2517,2311,230943.23,1.70
computers,203,181,222963.13,1.64
pet_shop,1947,1710,214315.41,1.58
musical_instruments,680,628,191498.88,1.41
small_appliances,679,630,190648.58,1.40
Unknown,1603,1451,179535.28,1.32
electronics,2767,2550,160246.74,1.18
consoles_games,1137,1062,157465.22,1.16
fashion_bags_accessories,2031,1864,152823.54,1.12
construction_tools_construction,929,748,144677.59,1.06
luggage_accessories,1092,1034,140429.98,1.03
home_appliances_2,238,234,113317.74,0.83
home_construction,604,490,83088.12,0.61
home_appliances,771,764,80171.53,0.59
agro_industry_and_commerce,212,182,72530.47,0.53
furniture_living_room,503,422,68916.56,0.51
fixed_telephony,264,217,59583.00,0.44
home_confort,434,397,58572.04,0.43
air_conditioning,297,253,55024.96,0.40
audio,364,350,50688.50,0.37
small_appliances_home_oven_and_coffee,76,75,47445.71,0.35
books_general_interest,553,512,46856.88,0.34
kitchen_dining_laundry_garden_furniture,281,248,46328.37,0.34
construction_tools_lights,304,244,41080.00,0.30
construction_tools_safety,194,167,40544.52,0.30
industry_commerce_and_business,268,235,39669.61,0.29
food,510,450,29393.41,0.22
market_place,311,280,28378.47,0.21
costruction_tools_garden,238,194,25715.89,0.19
art,209,202,24202.64,0.18
fashion_shoes,262,240,23562.77,0.17
drinks,379,297,22428.70,0.17
signaling_and_security,199,140,21509.23,0.16
furniture_bedroom,109,95,20028.78,0.15
books_technical,267,260,19096.06,0.14
costruction_tools_tools,103,97,15903.95,0.12
food_drink,278,227,15179.48,0.11
fashion_male_clothing,132,112,10797.82,0.08
fashion_underwear_beach,131,121,9541.55,0.07
christmas_supplies,153,128,8800.82,0.06
tablets_printing_image,83,79,7528.41,0.06
cine_photo,72,65,6933.46,0.05
music,38,38,6034.35,0.04
dvds_blu_ray,64,59,5999.39,0.04
books_imported,60,53,4639.85,0.03
party_supplies,43,39,4485.18,0.03
furniture_mattress_and_upholstery,38,38,4368.08,0.03
portateis_cozinha_e_preparadores_de_alimentos,15,14,3968.53,0.03
fashio_female_clothing,48,39,2803.64,0.02
fashion_sport,30,27,2119.51,0.02
la_cuisine,14,13,2054.99,0.02
arts_and_craftmanship,24,23,1814.01,0.01
diapers_and_hygiene,39,27,1567.59,0.01
pc_gamer,9,8,1545.95,0.01
flowers,33,29,1110.04,0.01
home_comfort_2,30,24,760.27,0.01
cds_dvds_musicals,14,12,730.00,0.01
fashion_childrens_clothes,8,8,569.85,0.00
security_and_services,2,2,283.29,0.00
