year,month,month_name,monthly_sales,orders,order_items
2016,9,September,267.36,3,6
2016,10,October,49507.66,308,363
2016,12,December,10.90,1,1
2017,1,January,120312.87,789,955
2017,2,February,247303.02,1733,1951
2017,3,March,374344.30,2641,3000
2017,4,April,359927.23,2391,2684
2017,5,May,506071.14,3660,4136
2017,6,June,433038.60,3217,3583
2017,7,July,498031.48,3969,4519
2017,8,August,573971.68,4293,4910
2017,9,September,624401.69,4243,4831
2017,10,October,664219.43,4568,5322
2017,11,November,1010271.37,7451,8665
2017,12,December,743914.17,5624,6308
2018,1,January,950030.36,7220,8208
2018,2,February,844178.71,6694,7672
2018,3,March,983213.44,7188,8217
2018,4,April,996647.75,6934,7975
2018,5,May,996517.68,6853,7925
2018,6,June,865124.31,6160,7078
2018,7,July,895507.22,6273,7092
2018,8,August,854686.33,6452,7248
2018,9,September,145.00,1,1
