payment_type,payment_installments,payment_records,orders,payment_value
boleto,1,19784,19784,2869361.27
credit_card,1,25455,25407,2440445.43
credit_card,10,5328,5315,2211577.34
credit_card,2,12413,12389,1579283.03
credit_card,3,10461,10443,1491103.80
credit_card,8,4268,4253,1313423.34
credit_card,4,7098,7088,1163907.61
credit_card,5,5239,5234,961174.30
credit_card,6,3920,3916,822611.81
voucher,1,5775,3866,379436.87
credit_card,7,1626,1623,305157.39
debit_card,1,1529,1528,217989.79
credit_card,9,644,644,131015.92
credit_card,12,133,133,42783.24
credit_card,15,74,74,32970.93
credit_card,18,27,27,13135.05
credit_card,24,18,18,10980.88
credit_card,20,17,17,10468.63
credit_card,11,23,23,2873.44
credit_card,14,15,15,2519.44
credit_card,13,16,16,2407.40
credit_card,16,5,5,1463.47
credit_card,17,8,8,1396.82
credit_card,21,3,3,731.10
credit_card,23,1,1,236.48
credit_card,22,1,1,228.71
credit_card,0,2,2,188.63
not_defined,1,3,3,0.00
