state,orders,units_sold,sales,freight
SP,70188,80342,8753396.21,1482487.67
PR,7673,8671,1261887.21,197013.52
MG,7930,8827,1011564.74,212595.06
RJ,4353,4818,843984.22,93829.90
SC,3667,4075,632426.07,106547.06
RS,1989,2199,378559.54,57243.09
BA,569,643,285561.56,19700.68
DF,824,899,97749.48,18494.06
PE,406,448,91493.85,12392.46
GO,463,520,66399.21,12565.50
ES,318,372,47689.61,12171.13
MA,392,405,36408.95,12141.29
CE,91,94,20240.64,4359.83
PB,36,38,17095.00,1489.15
MT,137,145,17070.72,4631.73
RN,51,56,9992.60,1304.11
MS,49,50,8551.69,1198.96
RO,14,14,4762.20,712.78
PI,12,12,2522.00,443.32
SE,9,10,1606.20,318.49
PA,8,8,1238.00,155.11
AM,3,3,1177.00,81.80
AC,1,1,267.00,32.84
